English	Swedish	POS	source	row
ICT		N?	0
ICT empowerment	IKT egenmakt	N?	0	ICT	1497
ICT training	IT-utbildning	N?	0	ICT	1498
idea ideas	idé idéer	N?	0	ICT	1499
ideal	idealisk	N?	0	ICT	1500
identical	identisk	N?	0	ICT	1501
identification	identifiering	N?	0	ICT	1502
identifier (ID)  identifiers identify identified identifying identifies	identifierare identifierare identifierar identifierade identifierings identifierar	N?	0	ICT	1503
identifier, identifiers	identifierare, identifieraren, identifierare	N	1	GF	734
identify, identified, identified	 identifiera, identifierade, identifierat	V	1	GF	735
identity	identitet	N?	0	ICT	1504
identity, identities	identitet, identiteten, identiteter	N	1	GF	736
if-loop, if-loops	if-loop, if-loopen, if-loopar	N	1	GF	737
if-statement, if-statements	if-sats, if-satsen, if-satser	N	1	GF	738
igniting	tända	N?	0	ICT	1505
ignore ignored ignoring	ignorera ignoreras ignorera	N?	0	ICT	1506
III-V compound semiconductor	III-V halvledar	N?	0	ICT	1507
illustrates	illustrerar	N?	0	ICT	1508
Image databases	Bilddatabaser	N?	0	ACM	863
Image display	Bildvisning	N?	0	ACM	92
Image displays	Bildskärmar	N?	0	ACM	1147
image noise reduction algorithm	bildbrusreduceringsalgoritm	N?	0	ICT	1510
image processing	bildbehandling	N?	0	ICT	1511
IMAGE PROCESSING AND COMPUTER VISION	BILDBEHANDLING OCH DATORSEENDE	N?	0	ACM	1145
Image processing software	Bildbehandlingsprogram	N?	0	ACM	1148
image rejection		N?	0	ICT	1512
Image Representation	Bildrepresentation	N?	0	ACM	1203
image, imaged, imaged	 föreställa, föreställde, föreställt	V	1	GF	739
image, images	bild, bilden, bilder	N	1	GF	740
imagery, imageries	bildsamling, bildsamlingen, bildsamlingar	N	1	GF	741
image|s imaging	bild bilder avbildning	N?	0	ICT	1509
Imaging geometry	Bildgeometri	N?	0	ACM	1151
immediate immediately	omedelbar omedelbart	N?	0	ICT	1513
immutable	oföränderlig, oföränderligt, oföränderliga	A	1	GF	742
impact, impacts	verkan, verkan, verkan	N	1	GF	743
impact|s	påverkan	N?	0	ICT	1514
impairment|s	njurfunktion nedsättningar	N?	0	ICT	1515
imperative	imperativ, imperativt, imperativa	A	1	GF	744
imperative programming, imperative programmings	imperativ programmering, imperativa programmeringen, imperativa programmeringar	N	1	GF	745
implement, implemented, implemented	 implementera, implementerade, implementerat	V	1	GF	746
Implementation (C.3)	Implementering (C.3)	N?	0	ACM	1231
implementation implementations implements implemented implement implementing	implementeringar implementerings redskap förda genomföra tillämpnings	N?	0	ICT	1516
implementation problem, implementation problems	implementationsproblem, implementationsproblemet, implementationsproblem	N	1	GF	747
implementation, implementations	implementering, implementeringen, implementeringar	N	1	GF	748
implication, implications	implikation, implikationen, implikationer	N	1	GF	749
implicit	implicita	N?	0	ICT	1517
imply implies	antyda antyder	N?	0	ICT	1518
important importance	viktig betydelse	N?	0	ICT	1519
impractical	opraktiskt	N?	0	ICT	1520
improve improved improving	förbättra förbättrad förbättring	N?	0	ICT	1521
improve, improved, improved	 förbättra, förbättrade, förbättrat	V	1	GF	750
improvement, improvements	förbättring, förbättringen, förbättringar	N	1	GF	751
improvement/improvements	förbättring/förbättringer	N?	0	ICT	1522
impulse noise suppression	impuls brusreducering	N?	0	ICT	1524
Impulse radio ultra wide-band (IR-UWB)	Impuls radio extremt bredbandiga	N?	0	ICT	1525
impulse|s	impuls impulser	N?	0	ICT	1523
in-building	i byggnader	N?	0	ICT	1529
in-memory		N?	0	ICT	1573
in-order	i-ordning	N?	0	ICT	1576
in-situ (Latin: in place)	in situ	N?	0	ICT	1585
in/out	in / ut	N?	0	ICT	1526
inactive inactivity	inaktiv inaktivitet	N?	0	ICT	1527
inbound	ingående	N?	0	ICT	1528
include includes including included	inkluderar innefattar inklusive inkluderad	N?	0	ICT	1530
include, included, included	 inkludera, inkluderade, inkluderat	V	1	GF	752
income	intäkter	N?	0	ICT	1531
incoming	inkommande	N?	0	ICT	1532
incomplete	ofullständig	N?	0	ICT	1533
incorporated	införlivas	N?	0	ICT	1534
incorrectly	felaktigt	N?	0	ICT	1535
increase increases increased increasing	öka ökar ökas ökar	N?	0	ICT	1536
incremental	inkrementell, inkrementellt, inkrementella	A	1	GF	753
Incremental compilers	Inkrementella kompilatorer	N?	0	ACM	457
incremental incrementing	inkrementell inkrementering	N?	0	ICT	1537
independent	oberoende	N?	0	ICT	1538
independent	oberoende, oberoende, oberoende	A	1	GF	754
independent component	oberoende komponent	N?	0	ICT	1539
independent independently	oberoende självständigt	N?	0	ICT	1540
Index generation	Indexgenerering	N?	0	ACM	1271
Index Generation [**]	Indexgenerering [**]	N?	0	ACM	1278
index indexed	index indexeras	N?	0	ICT	1541
index, indexes	index, indexet, index	N	1	GF	755
Indexing methods		N?	0	ACM	873
indicator indicators indicate  indicates indication indicated	indikator indikatorer indikerar indikerar indikation indikeras	N?	0	ICT	1542
indicator, indicators	indikator, indikatorn, indikatorer	N	1	GF	756
indirect	indirekt, indirekt, indirekta	A	1	GF	757
indirect indirectly	indirekt indirekt	N?	0	ICT	1543
individual	individuell, individuellt, individuella	A	1	GF	758
individual individuals individually	enskilda individer individuellt	N?	0	ICT	1544
individual, individuals	individ, individen, individer	N	1	GF	759
indoor coverage simulation	täckning simulering inomhus	N?	0	ICT	1546
indoor environment	innemiljö	N?	0	ICT	1547
indoor hotspot	inomhus hotspot	N?	0	ICT	1548
indoor wireless	inomhus trådlös	N?	0	ICT	1549
indoor|s	inomhus	N?	0	ICT	1545
Induction	Induktion	N?	0	ACM	1039
induction, inductions	induktion, induktionen, induktioner	N	1	GF	760
industrial	industriell, industriellt, industriella	A	1	GF	761
Industrial automation	Industriell automation	N?	0	ACM	1003
Industrial control	Industriell styrning	N?	0	ACM	1331
industrial environment	industriell miljö	N?	0	ICT	1550
industry industries industrial	industrin industrier industriell	N?	0	ICT	1551
industry, industries	industri, industrin, industrier	N	1	GF	762
inefficient	ineffektiv	N?	0	ICT	1552
inertial sensing	tröghetssensor	N?	0	ICT	1553
inference attacks	slutlednings attacker	N?	0	ICT	1554
Inference engines	Inferensmotorer	N?	0	ACM	1017
inference, inferences	inferens, inferensen, inferenser	N	1	GF	763
inform informed information informational informative	rätta informerad informations informativa informativ	N?	0	ICT	1555
Information browsers		N?	0	ACM	924
information exchange	informationsutbyte	N?	0	ICT	1556
information extraction	informationsextraktion	N?	0	ICT	1557
Information filtering	Filtrering av information	N?	0	ACM	881
information flow	informationsflöden	N?	0	ICT	1558
Information flow controls	Flödeskontroller	N?	0	ACM	508
Information hiding		N?	0	ACM	401
INFORMATION INTERFACES AND PRESENTATION (e.g., HCI) (I.7)		N?	0	ACM	927
information management system (IMS)		N?	0	ICT	1559
Information networks		N?	0	ACM	890
information retrieval	informationssökning	N?	0	ICT	1560
Information Search and Retrieval	Sökning och återvinning av information	N?	0	ACM	879
information security	informationssäkerhet	N?	0	ICT	1561
information security policies	informations säkerhetspolicy	N?	0	ICT	1562
information spreading	informationen sprids	N?	0	ICT	1563
Information Storage		N?	0	ACM	876
INFORMATION STORAGE AND RETRIEVAL		N?	0	ACM	868
information structure	informationsstruktur	N?	0	ICT	1564
information system, information systems	informationssystem, informationssystemet, informationssystem	N	1	GF	764
Information Systems	Informationssystem	N?	0	ACM	811
INFORMATION SYSTEMS APPLICATIONS	INFORMATIONSSYSTEMTILLÄMPNINGAR	N?	0	ACM	907
Information systems education	Utbildning i informationssystem	N?	0	ACM	1361
information technology	informationsteknik	N?	0	ICT	1565
information technology, information technologies	informationsteknik, informationstekniken, informationsteknikar	N	1	GF	765
Information theory		N?	0	ACM	817
information theory, information theories	informationsteori, informationsteorien, informationsteoriar	N	1	GF	766
information, informations	information, informationen, informationer	N	1	GF	767
information-centric network (ICN)		N?	0	ICT	1566
information-centric networking	informations-centrerad nätverk	N?	0	ICT	1567
infrastructure, infrastructures	infrastruktur, infrastrukturen, infrastrukturer	N	1	GF	768
infrastructure-free	infrastruktur fritt	N?	0	ICT	1569
infrastructure|s	infrastruktur infrastrukturer	N?	0	ICT	1568
Inheritance	Arv	N?	0	ACM	446
inheritance, inheritances	arv, arvet, arv	N	1	GF	769
inherited	ärvt	N?	0	ICT	1570
initial initialization	initiala initiering	N?	0	ICT	1571
Initial value problems		N?	0	ACM	739
initialization, initializations	initiering, initieringen, initieringar	N	1	GF	770
initialize, initialized, initialized	 initialisera, initialiserade, initialiserat	V	1	GF	771
initially initiating initiatives initiate initial initiates initiated initialized initiation initiative	initialt initierande initiativ initiera initiala initierar initieras initiativ initialiserad initiering	N?	0	ICT	1572
initiative, initiatives	initiativ, initiativet, initiativ	N	1	GF	772
injection, injections	injektion, injektionen, injektioner	N	1	GF	773
inner	inre	N?	0	ICT	1574
innovative innovator	innovativ innovatör	N?	0	ICT	1575
input	ingång	N?	0	ICT	1577
Input devices	Inenheter	N?	0	ACM	1090
Input devices and strategies (e.g., mouse, touchscreen)		N?	0	ACM	943
input, inputs	indata, indatan, indata	N	1	GF	774
Input/output	In- och utmatning	N?	0	ACM	447
Input/output	In- och utmatning	N?	0	ACM	495
input/output (I/O)	ingång / utgång	N?	0	ICT	1578
INPUT/OUTPUT AND DATA COMMUNICATIONS	IN- OCH UTMATNING OCH DATAKOMMUNIKATION	N?	0	ACM	83
Input/output circuits	In/utmatningskretsar	N?	0	ACM	165
Input/Output Devices	In- och utenheter	N?	0	ACM	89
inquiry inquiring	förfrågan förhört	N?	0	ICT	1579
insecure	osäker	N?	0	ICT	1580
insensitive	okänslig	N?	0	ICT	1581
insert inserted inserting	infoga införas	N?	0	ICT	1582
insertion sort, insertion sorts	insättningssortering, insättningssorteringen, insättningssorteringar	N	1	GF	775
insertion, insertions	införande, införandet, införanden	N	1	GF	776
inside	inuti	N?	0	ICT	1583
insight selling	insikt säljande	N?	0	ICT	1586
insight|s	insikt insikter	N?	0	ICT	1584
inspection, inspections	granskning, granskningen, granskningar	N	1	GF	777
inspired	inspirerad	N?	0	ICT	1587
install installed installing	installera installerad montera	N?	0	ICT	1588
installation	installationer	N?	0	ICT	1589
Installation Management	Installationshantering	N?	0	ACM	1423
instance, instances	instans, instansen, instanser	N	1	GF	778
instant	omedelbar	N?	0	ICT	1590
instead	istället	N?	0	ICT	1591
institute, instituted, instituted	 införa, införde, infört	V	1	GF	779
institute, institutes	institut, institutet, institut	N	1	GF	780
institutes	institut	N?	0	ICT	1592
instruction set architecture, instruction set architectures	instruktionsuppsättning, instruktionsuppsättningen, instruktionsuppsättningar	N	1	GF	781
Instruction set design (e.g., RISC, CISC, VLIW)	Design av instruktionsuppsättningar (t.ex. RISC, CISC, VLIW)	N?	0	ACM	193
Instruction set interpretation	Tolkning av instruktionsuppsättningar	N?	0	ACM	35
instruction, instructions	instruktion, instruktionen, instruktioner	N	1	GF	782
instructs instructor instruction	instruerar instruktör instruktion	N?	0	ICT	1593
instrument instruments instrumentation instrumenting	instrument instrumentet instrumentering instrumen	N?	0	ICT	1594
instrument, instruments	instrument, instrumentet, instrument	N	1	GF	783
instrumentation, instrumentations	instrumentering, instrumenteringen, instrumenteringar	N	1	GF	784
insufficient	otillräcklig	N?	0	ICT	1595
insurance	återförsäkring	N?	0	ICT	1596
Insurance [**]	Försäkringfrågor [**]	N?	0	ACM	1440
Insurance [*]	Försäkringfrågor [**]	N?	0	ACM	1445
insurance industry	försäkringsbranschen	N?	0	ICT	1597
Integer programming		N?	0	ACM	724
integer, integers	heltal, heltalet, heltal	N	1	GF	785
Integral Equations		N?	0	ACM	756
integrate, integrated, integrated	 integrera, integrerade, integrerat	V	1	GF	786
integrated circuit, integrated circuits	integrerad krets, integrerade kretsen, integrerade kretsar	N	1	GF	787
INTEGRATED CIRCUITS	INTEGRERADE KRETSAR	N?	0	ACM	159
integrated development environment, integrated development environments	integrerad utvecklingsmiljö, integrerade utvecklingsmiljöen, integrerade utvecklingsmiljöer	N	1	GF	788
Integrated environments	Integrerade miljöer	N?	0	ACM	368
integrated integrates integration integrity	integrerat integrerar integreringen integritet	N?	0	ICT	1598
integrating	integrera	N?	0	ICT	1599
integration	integrering	N?	0	ICT	1600
integration guide	integrationsguide	N?	0	ICT	1601
integration, integrations	integration, integrationen, integrationer	N	1	GF	789
integrator leakage	integrator läckage	N?	0	ICT	1602
integrity	integritet	N?	0	ICT	1603
integrity, integrities	integritet, integriteten, integriteter	N	1	GF	790
Integro-differential equations		N?	0	ACM	759
intellectual	intellektuell, intellektuellt, intellektuella	A	1	GF	791
Intellectual property	Immateriell egendom	N?	0	ACM	1393
Intellectual property rights	Upphovsrätt	N?	0	ACM	1374
intelligence, intelligences	intelligens, intelligensen, intelligenser	N	1	GF	792
intelligent	intelligent, intelligent, intelligenta	A	1	GF	793
Intelligent agents	Intelligenta agenter	N?	0	ACM	1081
intelligent intelligence	intelligenta intelligens	N?	0	ICT	1604
Intelligent Network Application Protocol/Intelligent Network Application Part (INAP)		N?	0	ICT	1605
intelligent presentation system	intelligent presentationssystem	N?	0	ICT	1606
intelligent transportation system (ITS)	intelligenta transportsystem	N?	0	ICT	1607
Intensity, color, photometry, and thresholding	Intensitet, färg, fotometri och tröskling	N?	0	ACM	1071
intensive	intensiv	N?	0	ICT	1609
intention intentional intended	avsikt avsiktlig avsedd	N?	0	ICT	1608
inter	bland	N?	0	ICT	1610
Inter-	inter-	N?	0	ICT	1611
inter-cell interference coordination	intercellinterferens samordning	N?	0	ICT	1616
inter-ISP traffic	inter-ISP trafik	N?	0	ICT	1625
inter-operate interoperation	samverka driftskompatibilitet	N?	0	ICT	1640
inter-process communication, inter-process communications	interprocesskommunikation, interprocesskommunikationen, interprocesskommunikationer	N	1	GF	794
interaction design	interaktionsdesign	N?	0	ICT	1612
Interaction styles (e.g., commands, menus, forms, direct manipulation)	…direktmanipulering	N?	0	ACM	944
Interaction techniques	Interaktionstekniker	N?	0	ACM	1131
interaction, interactions	interaktion, interaktionen, interaktioner	N	1	GF	795
interactive	interaktiv, interaktivt, interaktiva	A	1	GF	796
interactive	interaktiva	N?	0	ICT	1613
Interactive and reactive computation	Interaktiv och reaktiv databehandling	N?	0	ACM	580
Interactive environments	Interaktiva miljöer	N?	0	ACM	369
interactive interaction interacts	interaktiva interaktions samverkar	N?	0	ICT	1614
Interactive systems	Interaktiva system	N?	0	ACM	1232
Interactive systems	Interaktiva system	N?	0	ACM	516
interactive voice & video response (IVVR)	Interaktiv röst och video svar 	N?	0	ICT	1615
intercept intercepts interception  intercepting	avlyssna avlyssningar avlyssning  uppsamlingsanläggning	N?	0	ICT	1617
interchange, interchanged, interchanged	 växla, växlade, växlat	V	1	GF	797
interchange, interchanges	utbyte, utbytet, utbyten	N	1	GF	798
intercity	intercity	N?	0	ICT	1618
interconnect, interconnected, interconnected	 sammanlänka, sammanlänkade, sammanlänkat	V	1	GF	799
Interconnection architectures (e.g., common bus, multiport memory, crossbar switch)		N?	0	ACM	209
interconnection, interconnections	sammanlänkning, sammanlänkningen, sammanlänkningar	N	1	GF	800
Interconnections (Subsystems)		N?	0	ACM	94
interconnect|s interconnector interconnected interconnecting interconnection	samtrafik sammanbinder förbindelse förbundna förbindande sammankoppling	N?	0	ICT	1619
interdisciplinary	tvärvetenskaplig, tvärvetenskapligt, tvärvetenskapliga	A	1	GF	801
interest interests interesting interestingly	intressanta intressen intressant intressant	N?	0	ICT	1620
interested	interesserad, interesserat, interesserade	A	1	GF	802
Interface definition languages	Definitionsspråk för gränssnitt	N?	0	ACM	407
interface design, interface designs	gränssnittsdesign, gränssnittsdesignen, gränssnittsdesigner	N	1	GF	803
interface interfaces interfaced interfacing	gränssnitt gränssnitten gränssnitts gränssnitt	N?	0	ICT	1621
interface to the router system	gränssnitt till routern systemet	N?	0	ICT	1622
interface, interfaces	gränssnitt, gränssnittet, gränssnitt	N	1	GF	804
Interfaces	Gränssnitt	N?	0	ACM	97
interfere interference	interferera störningar	N?	0	ICT	1623
interference, interferences	interferens, interferensen, interferenser	N	1	GF	805
intergalactic	intergalaktiska	N?	0	ICT	1624
interior	inre, inre, inre	A	1	GF	806
interior, interiors	inrede, inredet, inreden	N	1	GF	807
interleave, interleaved, interleaved	 interfoliera, interfolierade, interfolierat	V	1	GF	808
Interleaved memories [**]	Flätade minnen [**]	N?	0	ACM	67
interleaving	interfoliering	N?	0	ICT	1626
intermediate	mellanliggande, mellanliggande, mellanliggande	A	1	GF	809
intermediate intermediary	mellanliggande mellanhand	N?	0	ICT	1627
internal	inre/intern	N?	0	ICT	1628
internal	intern, internt, interna	A	1	GF	810
international	internationell	N?	0	ICT	1629
international	internationell, internationellt, internationella	A	1	GF	811
internationalization, internationalizations	internationalisering, internationaliseringen, internationaliseringar	N	1	GF	812
internationalize, internationalized, internationalized	 internationalisera, internationaliserade, internationaliserat	V	1	GF	813
Internet (e.g., TCP/IP)	Internet (t.ex. TCP/IP)	N?	0	ACM	267
internet connectivity	internet-anslutning	N?	0	ICT	1631
internet internetworked internetworking	"net ""av nätverk"" internet"	N?	0	ICT	1630
internet of things (IoT)	Sakernas Internet	N?	0	ICT	1632
Internet Protocol (IP)		N?	0	ICT	1633
internet service provider (ISP)	Internetleverantör	N?	0	ICT	1634
internet traffic	internettrafik	N?	0	ICT	1635
internet, internets	internet, internet, internet	N	1	GF	814
internet-draft internet-drafts	Internet-utkast	N?	0	ICT	1636
internetwork internetworking internetworked	"internet Internetteknologi/samverkan ""sammankopplade nätverk"""	N?	0	ICT	1637
Internetworking  (2)		N?	0	ACM	269
Interoperability	Interoperabilitet	N?	0	ACM	404
interoperability	interoperabilitet	N?	0	ICT	1638
interoperable interoperability	interoperabla interoperabilitet	N?	0	ICT	1639
interplanetary	interplaneta	N?	0	ICT	1641
Interpolation (I.3.5, I.3.7)		N?	0	ACM	674
Interpolation formulas		N?	0	ACM	677
interpret interprets interpreter interpretation	tolka tolkar tolk tolkningen	N?	0	ICT	1642
interpret, interpreted, interpreted	 interpretera, interpreterade, interpreterat	V	1	GF	815
interpretation, interpretations	tolkning, tolkningen, tolkningar	N	1	GF	816
Interpreters	Interpretatorer	N?	0	ACM	458
interrogating	förhöra	N?	0	ICT	1643
interrupt, interrupted, interrupted	 avbryta, avbröt, avbrutit	V	1	GF	817
interruption, interruptions	avbrott, avbrottet, avbrott	N	1	GF	818
interrupt|s interruption	avbryta avbrott avbrott	N?	0	ICT	1644
interval	intervall	N?	0	ICT	1645
Interval arithmetic		N?	0	ACM	669
interval, intervals	intervall, intervallet, intervaller	N	1	GF	819
intervention	ingripande	N?	0	ICT	1646
intra-domain routing		N?	0	ICT	1647
introduce introduces introduced introducing	införa införs införda införa	N?	0	ICT	1648
introduce, introduced, introduced	 introducera, introducerade, introducerat	V	1	GF	820
introduction	introduktion	N?	0	ICT	1649
introduction, introductions	introduktion, introduktionen, introduktioner	N	1	GF	821
INTRODUCTORY AND SURVEY	Introduktion och överblick	N?	0	ACM	6
introspection	introspektion	N?	0	ICT	1650
intrusion	intrång	N?	0	ICT	1651
intrusion detection	intrångsdetektering	N?	0	ICT	1652
intrusion detection system (IDS)	intrångsidentifieringssystem (IDS)	N?	0	ICT	1653
intrusion, intrusions	intrång, intrånget, intrång	N	1	GF	822
invariant	invariant, invariant, invarianta	A	1	GF	823
Invariants	Invarianter	N?	0	ACM	1183
Invariants	Invarianter	N?	0	ACM	615
Invasive software (e.g., viruses, worms, Trojan horses)	Intrångsprogram (t.ex. virus, maskar, trojaner)	N?	0	ACM	1441
Invasive software (e.g., viruses, worms, Trojan horses)	Invaderande program (t.ex. virus, maskar, trojaner	N?	0	ACM	509
invented	uppfann	N?	0	ICT	1655
Inverse filtering [**]	Inversfiltrering [**]	N?	0	ACM	1168
inverse microemulsion	invers mikroemulsion	N?	0	ICT	1654
Inverse problems		N?	0	ACM	750
investigation	utredning	N?	0	ICT	1656
Investment	Investerings	N?	0	ICT	1657
invite invites inviting invited	bjuda inbjudningar inbjudande inbjudna	N?	0	ICT	1658
invocation, invocations	invokation, invokationen, invokationer	N	1	GF	824
invoices	fakturor	N?	0	ICT	1659
invoke invoked	åberopa åberopas	N?	0	ICT	1660
involved	involverade	N?	0	ICT	1661
IP backbones		N?	0	ICT	1662
IP basd TV (IPTV)	television distribuerad över IP-nätverk	N?	0	ICT	1663
IP Multimedia Core Network Subsystem (IMS)		N?	0	ICT	1664
IP security	IP-säkerhet	N?	0	ICT	1665
IP Security (Ipsec)	IP-säkerhet	N?	0	ICT	1666
IP telephony	IP-telefoni	N?	0	ICT	1667
IP version 4 (IPv4)		N?	0	ICT	1668
IP version 6 (IPv6)		N?	0	ICT	1669
ip-adress, ip-adresses	ip-address, ip-addressen, ip-addresser	N	1	GF	825
IPv4 to IPv6 transition strategies	IPv4 till IPv6 övergångsstrategier	N?	0	ICT	1670
IPv6 deployment		N?	0	ICT	1671
IPV6 security	IPv6-säkerhet	N?	0	ICT	1672
irrational	irrationell	N?	0	ICT	1673
irregular	oregelbunden	N?	0	ICT	1674
irregular	oregelbunden, oregelbundet, oregelbundna	A	1	GF	826
ISDN (Integrated Services Digital Network)	ISDN	N?	0	ACM	242
ISP competition	ISP konkurrens	N?	0	ICT	1675
ISP friendly	ISP vänlig	N?	0	ICT	1676
issue issues issued	emittera/emission emissioner emitterade	N?	0	ICT	1677
issue, issues	problem, problemet, problem	N	1	GF	827
IT outsourcing	IT-outsourcing	N?	0	ICT	1678
IT security	IT säkerhet	N?	0	ICT	1679
IT system	IT-system	N?	0	ICT	1680
iteration, iterations	iteration, iterationen, iterationer	N	1	GF	828
iterative	iterativ	N?	0	ICT	1681
iterative	iterativ, iterativt, iterativa	A	1	GF	829
iterative design	iterativ design	N?	0	ICT	1682
Iterative methods		N?	0	ACM	710
Iterative methods		N?	0	ACM	716
Iterative solution techniques		N?	0	ACM	751
itself	sig/själv	N?	0	ICT	1683
Java bean	java-bönor	N?	0	ICT	1684
Java card	Java-kort	N?	0	ICT	1685
Java Persistence API (JPA)	Java Persistens API	N?	0	ICT	1686
Java remote method invocation (RMI)		N?	0	ICT	1687
JavaScript Object Notation (JSON)		N?	0	ICT	1688
jet impingement	strålträffande	N?	0	ICT	1690
jewelry	smycken	N?	0	ICT	1689
jitter	skakning/darrning	N?	0	ICT	1691
job, jobs	arbete, arbetet, arbeten	N	1	GF	830
join joins joined joining	ansluta förenar fogade sammanfogning	N?	0	ICT	1692
journal|s	tidskrift tidskrifter	N?	0	ICT	1694
jumbo frame	jumboram	N?	0	ICT	1693
junction, junctions	förbindelse, förbindelsen, förbindelser	N	1	GF	831
Kalman filtering	Kalmanfiltrering	N?	0	ACM	1169
keep keeps keeping	hålla håller förvar/vård	N?	0	ICT	1695
kernel mode	kernel-läge	N?	0	ICT	1696
kernel, kernels	kärna, kärnan, kärnor	N	1	GF	832
key feature, key features	huvudfunktion, huvudfunktionen, huvudfunktioner	N	1	GF	833
key hierarchy	nyckelhierarki	N?	0	ICT	1697
key keys	nyckel nycklar 	N?	0	ICT	1698
key logging	nyckel loggning	N?	0	ICT	1699
key management	nyckelhantering	N?	0	ICT	1700
key performance indicators (KPIs)	nyckeltal	N?	0	ICT	1701
Key Risk Indicator (KRI)	Nyckelriskindikator	N?	0	ICT	1702
key security	nyckel säkerhet	N?	0	ICT	1703
key-value store/key-value data store	nyckel-värde datalager	N?	0	ICT	1706
keyboard	tangentbord	N?	0	ICT	1704
keyboard acoustic emanations	tangentbord akustiska emana	N?	0	ICT	1705
keyboard, keyboards	tangentbord, tangentbordet, tangentbord	N	1	GF	834
kibibyte, kibibytes	kibibyte, kibibyten, kibibytar	N	1	GF	835
kilobit, kilobits	kilobit, kilobiten, kilobitar	N	1	GF	836
kilobyte, kilobytes	kilobyte, kilobyten, kilobyte	N	1	GF	837
kilohertz, kilohertzes	kilohertz, kilohertzen, kilohertz	N	1	GF	838
kind kinds	typ typer	N?	0	ICT	1707
kind, kinds	sort, sorten, sorter	N	1	GF	839
kindergarten	dagis	N?	0	ICT	1708
Kinematics and dynamics	Kinematik och dynamik	N?	0	ACM	1062
kisses	kyssar	N?	0	ICT	1709
kit, kits	verktyg, verktyget, verktyg	N	1	GF	840
know knows	vet känner	N?	0	ICT	1710
knowledge	kunskap	N?	0	ICT	1711
Knowledge acquisition	Kunskapsinsamling	N?	0	ACM	1040
knowledge management	kunskapshantering	N?	0	ICT	1712
knowledge management improvement	kunskapshantering förbättring	N?	0	ICT	1713
knowledge management systems	kunskapshanteringssystem	N?	0	ICT	1714
Knowledge Representation Formalisms and Methods (F.4.1)	Kunskapsrepresentationens formalismer och metoder (F.4.1)	N?	0	ACM	1024
knowledge retrieval	kunskapsinhämtnings	N?	0	ICT	1715
knowledge sharing	kunskapsdelning	N?	0	ICT	1716
knowledge transfer	kunskapsöverföring	N?	0	ICT	1717
knowledge, knowledges	kunskap, kunskapen, kunskaper	N	1	GF	841
known	känd	N?	0	ICT	1718
lab, labs	labb, labben, labbar	N	1	GF	842
label labels	etikett etiketter	N?	0	ICT	1719
label printer	etikettskrivare	N?	0	ICT	1720
label, labeled, labeled	 beteckna, betecknade, betecknat	V	1	GF	843
label, labels	etikett, etiketten, etiketter	N	1	GF	844
laboratory task, laboratory tasks	laboration, laborationen, laborationer	N	1	GF	845
laboratory work	laboration	N?	0	ICT	1721
Lambda calculus and related systems		N?	0	ACM	639
Language acquisition	Språktillägnande	N?	0	ACM	1041
Language Classifications	Språkklasser	N?	0	ACM	421
Language Constructs and Features (E.2)		N?	0	ACM	436
language extension, language extensions	språkutvidgning, språkutvidgningen, språkutvidgningar	N	1	GF	846
Language generation	Språkgenerering	N?	0	ACM	1045
language languages	språk	N?	0	ICT	1722
Language models	Språkmodeller	N?	0	ACM	1046
Language parsing and understanding	Språkparsning och språkförståelse	N?	0	ACM	1047
Language translation	Språköversättning	N?	0	ACM	1320
language, languages	språk, språket, språk	N	1	GF	847
Languages	Språk	N?	0	ACM	1132
Languages	Språk	N?	0	ACM	320
Languages (3.2)	Språk (3.2)	N?	0	ACM	835
Languages (e.g., description, interconnection, definition)	Språk (t.ex. beskrivnings-, sammanlänknings-, definitions-)	N?	0	ACM	402
Languages [**]	Språk [**]	N?	0	ACM	1264
Languages and compilers	Språk och kompilatorer	N?	0	ACM	28
Languages and structures	Språk och strukturer	N?	0	ACM	1082
Languages and systems	Språk och system	N?	0	ACM	1272
Languages and Systems (3.2, 3.3, F.2.2)	Språk och system (3.2, 3.3, F.2.2	N?	0	ACM	988
languished	försmäktade	N?	0	ICT	1723
laptop	bärbar dator	N?	0	ICT	1724
laptop, laptops	laptop, laptoppen, laptoppar	N	1	GF	848
large	stor, stort, stora	A	1	GF	849
Large and Medium (``Mainframe'') Computers	"Stora och mellanstora datorer (""stordatorer"")"	N?	0	ACM	288
large content	stort innehåll	N?	0	ICT	1725
large corporation	stort företag	N?	0	ICT	1726
large enterprises	stora företag	N?	0	ICT	1727
large largely	"stor ""stor del"""	N?	0	ICT	1728
Large text archives		N?	0	ACM	899
large-scale	storskalig	N?	0	ICT	1729
laser, lasers	laser, lasern, lasrar	N	1	GF	850
laser|s	laser lasrar	N?	0	ICT	1730
last hop	sista hop	N?	0	ICT	1732
last lasts	sista varar	N?	0	ICT	1731
late	sen	N?	0	ICT	1733
latency	latens/fördoldhet	N?	0	ICT	1734
later	senare	N?	0	ICT	1735
latitude	latitud	N?	0	ICT	1736
launch launched	lanseringen lanserades	N?	0	ICT	1737
Law	Juridik	N?	0	ACM	1004
Law	Rättsväsen	N?	0	ACM	1294
law enforcement agency	brottsbekämpande organ	N?	0	ICT	1738
law laws lawful	lag lagar lagliga	N?	0	ICT	1739
law, laws	lag, lagen, lagar	N	1	GF	851
lawful interception	laglig avlyssning	N?	0	ICT	1740
Layer 2 Tunneling Protocol (L2TP)		N?	0	ICT	1741
